Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
PROGRAMME DELIVERY ROLES,Explorer Unit Leadership Team roles (may be linked with Group(s) via Partnership Agreements),Scout District Roles,Assistant Section Leader - Explorers,None,Leader,District,District Explorer Scout Commissioner,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Explorer Unit Leadership Team roles (may be linked with Group(s) via Partnership Agreements),Scout District Roles,Section Assistant - Explorers,None,Leader,District,District Explorer Scout Commissioner,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding and 3",No requirement,Associate Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Explorer Unit Leadership Team roles (may be linked with Group(s) via Partnership Agreements),Scout District Roles,Section Leader - Explorer Scout Young Leaders,None,Leader,District,District Explorer Scout Commissioner,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Explorer Unit Leadership Team roles (may be linked with Group(s) via Partnership Agreements),Scout District Roles,Assistant Section Leader - Explorer Scout Young Leaders,None,Leader,District,District Explorer Scout Commissioner,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,UK Headquarters - Delivery roles for major events,UK Headquarters,Unit Leader,Name of event,Leader,"World Jamboree, Moots and similar events",As advised by Contingent Team for each event - Local Selection in County or Country,1,Local Selection in County or Country,Local Selection in County or Country,Local Selection in County or Country,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","It is recommended that role holders have the relevant Wood Badge and First Aid Certificate prior to appointment, or are close to completing both.",Member,No,Yes,No
PROGRAMME DELIVERY ROLES,UK Headquarters - Delivery roles for major events,UK Headquarters,Assistant Unit Leader,Name of event,Leader,"World Jamboree, Moots and similar events",As advised by Contingent Team for each event - Local Selection in County or Country,1,Local Selection in County or Country,Local Selection in County or Country,Local Selection in County or Country,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","It is recommended that role holders have the relevant Wood Badge and First Aid Certificate prior to appointment, or are close to completing both.",Member,No,Yes,No
PROGRAMME DELIVERY ROLES,UK Headquarters - Delivery roles for major events,UK Headquarters,International Service Team Member,Name of event,Leader,"World Jamboree, Moots and similar events",Contingent Leader,Contingent Selection Process,Contingent Leader,Contingent Leader,Contingent Leader,"Safety, Safeguarding",No requirement,Member,No,Yes,No
LINE MANAGER ROLES,,Scout Group,Group Scout Leader,None,Commissioner,Group,District Commissioner or nominee,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout Group,Group Scout Leader (Scotland),None,Commissioner,Group,District Commissioner or nominee,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,See Scottish Variations from POR,Yes,Yes
LINE MANAGER ROLES,,Scout Group,Acting Group Scout Leader,None,Commissioner,Group,n/a,n/a,Appointed by District Commissioner,District Commissioner,District Commissioner,n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting GSL role is a temporary role, typically for a maximum of 6 months (POR Rule 3.42(c))"
LINE MANAGER ROLES,,Scout District,District Commissioner,None,Commissioner,"BSO, England, Northern Ireland, Wales",County (or equivalent) Commissioner or nominee,1,County (or equivalent) Appointments Advisory Committee,County (or equivalent) Commissioner or nominee,County (or equivalent) Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout District,Acting District Commissioner,None,Commissioner,District,n/a,n/a,Appointed by County/Area/Region (Scotland) Commissioner,County/Area/Region(Scotland),Appointed by County/Area/Region(Scotland),n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting DC role is a temporary role, typically for a maximum of 6 months (POR Rule 4.44(a)(v))"
LINE MANAGER ROLES,,Scout District,District Commissioner (Scotland),None,Commissioner,Scotland,Regional Commissioner or nominee,1,Regional Appointments Advisory Committee,Regional Commissioner or nominee,Regional Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,See Scottish Variations from POR,Yes,Yes
LINE MANAGER ROLES,,Scout District,District Explorer Scout Commissioner,None,Commissioner,"BSO, England, Northern Ireland, Wales",District Commissioner or nominee,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout District,Acting District Explorer Scout Commissioner,None,Commissioner,District,n/a,n/a,Appointed by District Commissioner,District Commissioner,District Commissioner,n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting DESC role is a temporary role, typically for a maximum of 6 months (POR Rule 4.44(c))"
LINE MANAGER ROLES,,Scout District,District Explorer Scout Commissioner (Scotland),None,Commissioner,Scotland,District Commissioner or nominee,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,See Scottish Variations from POR,Yes,Yes
LINE MANAGER ROLES,,Scout District,District Scout Network Commissioner,None,Commissioner,"BSO, England, Northern Ireland, Wales",District Commissioner or nominee,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout District,District Scout Network Commissioner (Scotland),None,Commissioner,Scotland,District Commissioner or nominee,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,See Scottish Variations from POR,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,County Commissioner,None,Commissioner,"England, Northern Ireland",Regional Commissioner (England) or Chief Commissioner Northern Ireland,4,UK Headquarters Appointments Advisory Committee,Country Chief Commissioner or nominee,Regional Commissioner (England) or Chief Commissioner (Northern Ireland) or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Acting County Commissioner,None,Commissioner,"England, Northern Ireland",n/a,n/a,Appointed by Regional Commissioner (England) or Chief Commissioner (Northern Ireland),Country Chief Commissioner or nominee,Regional Commissioner (England) or Chief Commissioner (Northern Ireland),n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting CC role is a temporary role, typically for a maximum of 6 months (POR Rule 5.35(a)(vi))"
LINE MANAGER ROLES,,Scout County or equivalent,Bailiwick Commissioner,None,Commissioner,Guernsey,Regional Commissioner ,4,UK Headquarters Appointments Advisory Committee,Country Chief Commissioner or nominee,Regional Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Island Commissioner,None,Commissioner,Jersey,Regional Commissioner ,4,UK Headquarters Appointments Advisory Committee,Country Chief Commissioner or nominee,Regional Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Area Commissioner,None,Commissioner,Wales,Regional Commissioner ,4,UK Headquarters Appointments Advisory Committee,Country Chief Commissioner or nominee,Regional Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Area Commissioner,None,Commissioner,BSO,International Commissioner,4,UK Headquarters Appointments Advisory Committee,International Commissioner,International Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Acting Area Commissioner,None,Commissioner,"Wales, BSO",n/a,n/a,Appointed by International Commissioner (BSO) or Chief Commissioner (Wales),International Commissioner (BSO) or Chief Commissioner (Wales),Appointed by International Commissioner (BSO) or Chief Commissioner (Wales),n/a,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting AC role is a temporary role, typically for a maximum of 6 months (POR Rule 5.35(a)(vi))"
LINE MANAGER ROLES,,Scout County or equivalent,Regional Commissioner (Scotland),None,Commissioner,Scotland,Chief Commissioner of Scotland or nominee,1,Scouts Scotland Appointments Advisory Committee,Chief Commissioner of Scotland or nominee,Chief Commissioner of Scotland or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Scout County or equivalent,Acting Regional Commissioner (Scotland),None,Commissioner,Scotland,n/a,n/a,Chief Commissioner of Scotland,Chief Commissioner of Scotland or nominee,Chief Commissioner of Scotland or nominee,n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,Yes,Yes,"N/a, given that an Acting RC(S) role is a temporary role, typically for a maximum of 6 months (POR Rule 5.35(a)(vi))"
LINE MANAGER ROLES,,England and Wales Regions,Regional Commissioner,England or Wales,Commissioner,"England, Wales",Chief Commissioner of England or of Wales as appropriate,1,UK Headquarters Appointments Advisory Committee,Chief Commissioner of England or of Wales as appropriate,Chief Commissioner of England or Wales or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
LINE MANAGER ROLES,,England and Wales Regions,Acting Regional Commissioner,England or Wales,Commissioner,"England, Wales",n/a,n/a,Chief Commissioner of England or of Wales as appropriate,Chief Commissioner of England or of Wales as appropriate,Chief Commissioner of England or of Wales as appropriate,n/a,"Modules 1, GDPR, Safety, Safeguarding, 4 and Trustee Introduction 
(within 5 months)",Member,No,Yes,"N/a, given that an Acting RC role is a temporary role, normally limited to a 6 month term"
LINE MANAGER ROLES,,Country Manager roles,Chief Commissioner,England,Commissioner,England,UK Chief Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
LINE MANAGER ROLES,,Country Manager roles,Chief Commissioner,"Northern Ireland, Wales",Commissioner,"Northern Ireland, Wales",UK Chief Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, Trustee Introduction, 2 and 4",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Country Manager roles,Chief Commissioner,Scotland,Commissioner,Scotland,UK Chief Commissioner and Scottish Trustee Board,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,"Modules 1, GDPR, Safety, Safeguarding, Trustee Introduction, 2 and 4",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
LINE MANAGER ROLES,,Country Manager roles,Chief Commissioner (Branch),None,Commissioner,Branches,International Commissioner,4,UK Headquarters Appointments Advisory Committee,UK Chief Commissioner,UK Chief Commissioner,As agreed,"Module 1, Safety, Safeguarding, Wood Badge and First Aid certificate (within 3 years)",Member,As defined in Branch’s constitution,Yes,Yes
LINE MANAGER ROLES,,Headquarters Manager roles,Chief Scout,None,Commissioner,UK,Chair of UK Board,4,The Council,Chair of  UK Board,UK Chief Commissioner,No requirement,No requirement,Member,No,No,Yes
LINE MANAGER ROLES,,Headquarters Manager roles,UK Chief Commissioner,None,Commissioner,UK,Chair of UK Board,4,UK Board of Trustees,Chair of  UK Board,Chair of the UK Board,"Modules 1, GDPR, Safety, Safeguarding, 2, 4 and Trustee Introduction",[M&S] Wood Badge and First Aid certificate (within 3 years),Member,Yes,Yes,Yes
GOVERNANCE ROLES,,Scout Group,Group Chair,None,Committee,Group,Group Scout Leader,2,Group Scout Council at the AGM,Group Scout Council,Group Scout Leader,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout Group,"Group Deputy Chair 
(this will be an Elected, Nominated or Co-opted Group Executive member appointed by the Executive to be Deputy Chair)","Elected, 
Nominated, 
Co-opted",Committee,Group,Group Chair,3,Group Executive Committee,Group Executive Committee,Group Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes++,No
GOVERNANCE ROLES,,Scout Group,Group Secretary,None,Committee,Group,Elected by Members of the Group Scout Council,2,Group Scout Council at the AGM,Group Scout Council,Group Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout Group,Group Treasurer,None,Committee,Group,Elected by Members of the Group Scout Council,2,Group Scout Council at the AGM,Group Scout Council,Group Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout Group,Group Executive Member (Section Leader who opts-in),Opted-in Section Leader,Committee,Group,Opts-in before or at AGM,"n/a 
(Ex Officio member when opts-in at the Group AGM)",n/a,n/a,Group Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout Group,Group Executive Member (other than the Chair/Secretary/Treasurer roles),"Elected, 
Nominated, 
Co-opted",Committee,Group,Elected by Members of the Group Scout Council,"2 (Elected, Nominated)

3 (Co-opted)",Group Scout Council at the AGM,Group Scout Council,Group Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes++,No
GOVERNANCE ROLES,,Scout Group,Group Sub-Committee members (who are not also members of the Group Executive Committee),None,Committee,Group,Group Chair,3,Group Executive Committee,Group Executive,Group Chair,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout District,District Chair,None,Committee,District,District Commissioner or nominee,2,District Scout Council at the AGM,District Scout Council,District Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction (Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Deputy Chair (this will be an Elected or Nominated District Executive member appointed by the District Executive to be Deputy Chair),"Elected, 
Nominated, 
Co-opted",Committee,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction (Within 5 months)",Associate Member,Yes,Yes++,No
GOVERNANCE ROLES,,Scout District,District Secretary,None,Committee,District,Elected by Members of the District Scout Council,2,District Scout Council at the AGM,District Scout Council,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction (Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Treasurer,None,Committee,District,Elected by Members of the District Scout Council,2,District Scout Council at the AGM,District Scout Council,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction (Within 5 months)",Associate Member,Yes,Yes++,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Executive Member (other than the Chair/Secretary/Treasurer roles),"Elected, 
Nominated, 
Co-opted",Committee,District,Elected by Members of the District Scout Council,"2 (Elected, Nominated)

3 (Co-opted)",District Scout Council at the AGM,District Scout Council,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction (Within 5 months)",Associate Member,Yes,Yes++,No
GOVERNANCE ROLES,,Scout District,District Appointments Chair,None,Committee,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Appointments Secretary,None,Secretary,District,District Appointments Chair,3,District Executive Committee,District Executive Committee,District Appointments Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Assistant Appointments Secretary,None,Secretary,District,District Appointments Chair,3,District Executive Committee,District Executive Committee,District Appointments Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout District,District Appointment Advisory Committee members ,None,Committee,District,District Appointments Chair,3,District Executive Committee,District Executive Committee,District Appointments Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding 
(Within 5 months) 

Module 37",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout District,District Sub-Committee members (who are not also members of the District Executive Committee),None,Committee,District,District Chair,3,District Executive Committee,District Chair,District Executive Committee,No requirement,"Modules 1, GDPR, Safety and Safeguarding (Within 5 months)",Associate Member,No,No,No
GOVERNANCE ROLES,,Scout County or equivalent,County Chair,None,Committee,"England, Northern Ireland",County Commissioner or nominee,2,County Scout Council at the AGM,County Scout Council,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,Area Chair,None,Committee,"Wales, BSO",Area Commissioner or nominee,2,Area Scout Council at the AGM,Area Scout Council,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,Regional Chair (Scotland),None,Committee,Scotland,Regional Commissioner (Scotland) or nominee,2,Regional (Scotland) Scout Council at the AGM,Regional (Scotland) Scout Council,Regional Commissioner (Scotland) or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,County Deputy Chair (this will be an Elected or Nominated County Executive member appointed by the Executive to be Deputy Chair),None,Committee,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,Area Deputy Chair (this will be an Elected or Nominated Area Executive member appointed by the Executive to be Deputy Chair),None,Committee,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,Regional (Scotland) Deputy Chair (this will be an Elected or Nominated Regional (Scotland) Executive member appointed by the Executive to be Deputy Chair),None,Committee,Scotland,Regional (Scotland) Chair,3,Regional (Scotland) Executive Committee,Regional (Scotland) Executive Committee,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,No
GOVERNANCE ROLES,,Scout County or equivalent,County Secretary,None,Committee,"England, Northern Ireland",Elected by Members of the County Scout Council,2,County Scout Council at the AGM,County Scout Council,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,Area Secretary,None,Committee,"Wales, BSO",Elected by Members of the Area Scout Council,2,Area Scout Council at the AGM,Area Scout Council,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,Regional (Scotland) Secretary,None,Committee,Scotland,Elected by Members of the Regional (Scotland) Scout Council,2,Regional (Scotland) Scout Council at the AGM,Regional (Scotland) Scout Council,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,County Treasurer,None,Committee,"England, Northern Ireland",Elected by Members of the County Scout Council,2,County Scout Council at the AGM,County Scout Council,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
GOVERNANCE ROLES,,Scout County or equivalent,Area Treasurer,None,Committee,"Wales, BSO",Elected by Members of the Area Scout Council,2,Area Scout Council at the AGM,Area Scout Council,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding and Trustee Introduction 
(Within 5 months)",Associate Member,Yes,Yes,"Yes, in line with section 5(i)"
